country,count
USA,3642
France,679
UK,660
Japan,568
India,509
Canada,500
Germany,393
South Korea,287
English,212
Australia,208
Belgium,206
Brazil,206
Spain,177
Italy,150
China,139
Turkey,132
Denmark,117
Argentina,101
Mexico,76
Hong Kong,69
Ireland,59
Philippines,58
Austria,57
Russian Federation,51
Indonesia,50
Iran,45
Thailand,45
Turkish,42
Arabic,40
Norway,37
Netherlands,34
Czechia,32
Japanese,29
Egypt,28
Sweden,28
Poland,27
Taiwan,26
New Zealand,26
Greece,24
Finland,22
South Africa,21
Portugal,21
Hindi,20
Chile,20
Romania,20
Spanish,19
Switzerland,19
Hungary,18
Portuguese,16
Iceland,16
Israel,15
Persian (Farsi),14
Bulgaria,13
French,12
Serbia,11
United Arab Emirates,11
Italian,10
Chinese,9
Estonia,9
Luxembourg,9
Colombia,8
Bosnia and Herzegovina,6
Singapore,5
Bolivarian Republic of Venezuela,4
German,4
Uruguay,4
Afghanistan,4
Morocco,4
Lithuania,3
Georgia,3
Croatia,3
Telugu,3
Belarus,3
Vietnam,3
Algeria,3
Uganda,3
Guatemala,3
Qatar,3
Cambodia,3
Cuba,3
Malaysia,3
Malayalam,2
Ghana,2
Cantonese,2
Lebanon,2
Cyprus,2
Bahamas,2
Jordan,2
Nigeria,2
Rwanda,2
State of Palestine,2
Paraguay,2
Bolivia,2
Korean,2
Puerto Rico,2
Peru,2
Azerbaijan,1
Dominican Republic,1
Latvia,1
Costa Rica,1
Slovakia,1
Angola,1
Swedish,1
Slovenia,1
Ukraine,1
Mauritania,1
Iraq,1
Chad,1
Democratic Republic of Congo,1
Saudi Arabia,1
Panama,1
Dutch,1
Albania,1
Armenia,1
Tunisia,1
Ecuador,1
Cameroon,1
Myanmar,1
Aymara,1
Kenya,1
Polish,1
Malawi,1
Marathi (Marāṭhī),1
Hungarian,1
Sudan,1
Mongolia,1
Catalan,1
Tagalog,1
Indonesian,1
Greek (modern),1
Yugoslavia,1
Burkina Faso,1
Aruba,1
